circuitId,circuitRef,laps,corners,name,location,country,nationality,lat,lng,alt,url
1,albert_park,58,16,Albert Park Grand Prix Circuit,Melbourne,Australia,Australian,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2,sepang,56,15,Sepang International Circuit,Kuala Lumpur,Malaysia,Malaysian,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit
3,bahrain,57,15,Bahrain International Circuit,Sakhir,Bahrain,Bahraini,26.0325,50.5106,7,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
4,catalunya,66,16,Circuit de Barcelona-Catalunya,Montmeló,Spain,Spanish,41.57,2.26111,109,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
5,istanbul,58,14,Istanbul Park,Istanbul,Turkey,Turkish,40.9517,29.405,130,http://en.wikipedia.org/wiki/Istanbul_Park
6,monaco,78,19,Circuit de Monaco,Monte-Carlo,Monaco,Monegasque,43.7347,7.42056,7,http://en.wikipedia.org/wiki/Circuit_de_Monaco
7,villeneuve,70,14,Circuit Gilles Villeneuve,Montreal,Canada,Canadian,45.5,-73.5228,13,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
8,magny_cours,59,17,Circuit de Nevers Magny-Cours,Magny Cours,France,French,46.8642,3.16361,228,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
9,silverstone,52,18,Silverstone Circuit,Silverstone,UK,British,52.0786,-1.01694,153,http://en.wikipedia.org/wiki/Silverstone_Circuit
10,hockenheimring,49,17,Hockenheimring,Hockenheim,Germany,German,49.3278,8.56583,103,http://en.wikipedia.org/wiki/Hockenheimring
11,hungaroring,70,14,Hungaroring,Budapest,Hungary,Hungarian,47.5789,19.2486,264,http://en.wikipedia.org/wiki/Hungaroring
12,valencia,57,14,Valencia Street Circuit,Valencia,Spain,Spanish,39.4589,-0.331667,4,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
13,spa,44,20,Circuit de Spa-Francorchamps,Spa,Belgium,Belgian,50.4372,5.97139,401,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
14,monza,53,11,Autodromo Nazionale di Monza,Monza,Italy,Italian,45.6156,9.28111,162,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
