raceID,name,points,year
,Brazilian Grand Prix,9.45,2012
,German Grand Prix,9.44,2019
,Chinese Grand Prix,9.24,2011
,Canadian Grand Prix,9.19,2014
,Hungarian Grand Prix,9.14,2014
,Hungarian Grand Prix,9.11,2015
,United States Grand Prix,9.1,2015
,Canadian Grand Prix,9.1,2011
,Bahrain Grand Prix,9.1,2014
,Russian Grand Prix,9.04,2021
,Turkish Grand Prix,8.99,2020
,British Grand Prix,8.97,2022
,Austrian Grand Prix,8.88,2019
,Abu Dhabi Grand Prix,8.85,2012
,Sakhir Grand Prix,8.84,2020
,Azerbaijan Grand Prix,8.79,2017
,European Grand Prix,8.78,2012
,United States Grand Prix,8.77,2012
,Brazilian Grand Prix,8.77,2019
,United States Grand Prix,8.76,2018
,Brazilian Grand Prix,8.76,2008
,Spanish Grand Prix,8.71,2016
,Hungarian Grand Prix,8.7,2021
,Canadian Grand Prix,8.67,2010
,British Grand Prix,8.65,2018
,Chinese Grand Prix,8.65,2012
,Bahrain Grand Prix,8.64,2021
,Australian Grand Prix,8.64,2010
,Chinese Grand Prix,8.62,2018
,British Grand Prix,8.56,2019
,Azerbaijan Grand Prix,8.54,2018
,Bahrain Grand Prix,8.51,2019
,Malaysian Grand Prix,8.45,2012
,German Grand Prix,8.43,2011
,Italian Grand Prix,8.42,2021
,Italian Grand Prix,8.42,2020
,Malaysian Grand Prix,8.37,2015
,Belgian Grand Prix,8.37,2010
,Hungarian Grand Prix,8.34,2011
,Sao Paulo Grand Prix,8.34,2021
,Chinese Grand Prix,8.33,2010
,Bahrain Grand Prix,8.32,2018
,Italian Grand Prix,8.31,2018
,Brazilian Grand Prix,8.31,2009
,Austrian Grand Prix,8.28,2020
,Spanish Grand Prix,8.27,2012
,French Grand Prix,8.23,2021
,Brazilian Grand Prix,8.2,2022
,Canadian Grand Prix,8.2,2012
,Monaco Grand Prix,8.18,2008
,Italian Grand Prix,8.18,2019
,Brazilian Grand Prix,8.18,2018
,Emilia Romagna Grand Prix,8.17,2021
,British Grand Prix,8.16,2008
,Italian Grand Prix,8.15,2008
,German Grand Prix,8.14,2018
,Austrian Grand Prix,8.12,2018
,Austrian Grand Prix,8.1,2016
,United States Grand Prix,8.04,2022
,Malaysian Grand Prix,8.01,2016
,Turkish Grand Prix,7.98,2010
,Hungarian Grand Prix,7.97,2019
,British Grand Prix,7.96,2011
,Bahrain Grand Prix,7.96,2017
,British Grand Prix,7.95,2015
,Brazilian Grand Prix,7.94,2016
,Australian Grand Prix,7.94,2009
,Saudi Arabian Grand Prix,7.93,2022
,Spanish Grand Prix,7.87,2017
,German Grand Prix,7.86,2014
,Chinese Grand Prix,7.85,2016
,Belgian Grand Prix,7.85,2009
,British Grand Prix,7.85,2014
,Bahrain Grand Prix,7.83,2013
,Bahrain Grand Prix,7.83,2022
,Canadian Grand Prix,7.81,2008
,Austrian Grand Prix,7.81,2022
,Azerbaijan Grand Prix,7.79,2021
,United States Grand Prix,7.78,2017
,Malaysian Grand Prix,7.78,2011
,Belgian Grand Prix,7.77,2011
,Belgian Grand Prix,7.76,2014
,Australian Grand Prix,7.76,2016
,Monaco Grand Prix,7.75,2016
,Belgian Grand Prix,7.74,2008
,United States Grand Prix,7.72,2021
,Australian Grand Prix,7.7,2013
,Monaco Grand Prix,7.68,2011
,Hungarian Grand Prix,7.68,2022
,Hungarian Grand Prix,7.68,2013
,Australian Grand Prix,7.66,2012
,German Grand Prix,7.64,2013
,Italian Grand Prix,7.64,2012
,Australian Grand Prix,7.61,2008
,Abu Dhabi Grand Prix,7.59,2016
,Japanese Grand Prix,7.57,2011
,Canadian Grand Prix,7.55,2017
,Korean Grand Prix,7.54,2010
,Chinese Grand Prix,7.53,2017
,Italian Grand Prix,7.49,2011
